GeneName	MeanOverall	DispOverall	Disp1	Disp2	DispFC	DispLog2FC	ProbDiffDisp	ResultDiffDisp
OSBPL10	0.041	2.314	3.154	1.117	2.762	1.466	0.799	NoDiff
OSBPL11	0.059	0.565	0.384	0.824	0.468	-1.096	0.754	NoDiff
OSBPL6	0.002	23.844	20.457	28.672	0.842	-0.249	0.739	NoDiff
OSBPL9	0.987	0.185	0.242	0.105	2.258	1.175	0.98	GM12878+
OSCP1	0.026	1.065	1.451	0.515	2.903	1.537	0.799	NoDiff
OSGEPL1	0.048	0.676	0.716	0.618	1.157	0.211	0.653	NoDiff
OSGEPL1-AS1	0.015	1.581	1.593	1.563	0.92	-0.12	0.734	NoDiff
OST4	12.543	0.082	0.086	0.076	1.124	0.169	0.005	NoDiff
OSTC	5.47	0.26	0.286	0.223	1.283	0.36	0	NoDiff
OSTN-AS1	0.026	43.206	29.23	63.134	0.465	-1.104	0.864	ExcludedFromTesting
OTUD3	0.027	0.426	0.422	0.433	0.677	-0.563	0.809	NoDiff
OTUD7B	0.102	0.53	0.527	0.533	0.892	-0.165	0.603	NoDiff
OVGP1	0.004	8.298	8.728	7.684	1.156	0.209	0.794	NoDiff
OXCT2	0.018	3.05	3.562	2.319	1.62	0.696	0.693	NoDiff
OXER1	0.022	1.805	1.51	2.226	0.64	-0.645	0.668	NoDiff
OXNAD1	0.126	0.229	0.215	0.249	0.945	-0.081	0.668	NoDiff
OXSM	0.184	0.261	0.401	0.06	6.371	2.671	0.97	GM12878+
OXSR1	0.184	0.261	0.327	0.167	2.075	1.053	0.729	NoDiff
OXTR	0.045	6.041	7.335	4.196	1.771	0.825	0.724	ExcludedFromTesting
P2RY1	0.02	5.102	5.898	3.966	1.67	0.74	0.724	ExcludedFromTesting
P3H1	0.15	0.169	0.189	0.141	1.362	0.446	0.739	NoDiff
P3H2	0.094	8.472	4.77	13.751	0.349	-1.52	0.95	ExcludedFromTesting
P3H2-AS1	0.002	40.496	16.584	74.593	0.299	-1.74	0.764	NoDiff
P4HTM	0.405	0.38	0.536	0.158	3.399	1.765	0.965	GM12878+
PABPC4	5.565	0.548	0.561	0.531	1.059	0.083	0	ExcludedFromTesting
PACRGL	0.038	0.385	0.406	0.356	1.044	0.063	0.774	NoDiff
PADI2	0.009	110.352	135.5	74.493	1.951	0.964	0.709	NoDiff
PADI4	0.005	61.755	80.302	35.309	2.125	1.088	0.704	NoDiff
PAFAH2	0.05	0.473	0.374	0.612	0.569	-0.815	0.779	NoDiff
PAICS	1.042	0.266	0.294	0.225	1.307	0.386	0.141	ExcludedFromTesting
PAIP2B	0.037	0.643	0.685	0.584	1.113	0.154	0.643	NoDiff
PAK2	0.843	0.069	0.074	0.061	1.253	0.326	0.508	NoDiff
PANK4	0.051	0.316	0.248	0.414	0.613	-0.707	0.729	NoDiff
PAPOLG	0.051	0.298	0.415	0.131	2.82	1.496	0.824	NoDiff
PAPSS1	0.284	0.46	0.399	0.546	0.733	-0.448	0.447	NoDiff
PAQR3	0.021	0.92	0.973	0.844	1.069	0.096	0.714	NoDiff
PAQR6	0.04	0.924	1.177	0.562	2.012	1.009	0.829	NoDiff
PAQR7	0.04	4.77	5.595	3.593	1.575	0.655	0.588	NoDiff
PARK7	8.631	0.092	0.106	0.071	1.485	0.57	0.452	NoDiff
PARL	0.991	0.069	0.093	0.034	2.81	1.491	0.899	NoDiff
PARM1	0.143	1.566	1.701	1.374	1.225	0.292	0.312	NoDiff
PARP1	3.649	0.105	0.11	0.099	1.116	0.159	0	NoDiff
PARP14	0.895	0.352	0.415	0.261	1.587	0.666	0.643	NoDiff
PARP15	0.162	0.507	0.539	0.462	1.139	0.188	0.417	NoDiff
PARP3	0.177	0.388	0.396	0.376	1.163	0.218	0.553	NoDiff
PARP9	0.264	1.041	1.029	1.056	0.961	-0.057	0.03	NoDiff
PARS2	0.049	0.525	0.589	0.434	1.212	0.277	0.749	NoDiff
PASK	0.289	4.052	3.818	4.385	0.869	-0.202	0.01	NoDiff
PAX8	0.016	22.206	1.071	52.342	0.02	-5.659	0.96	ExcludedFromTesting
PBRM1	0.463	0.201	0.225	0.166	1.28	0.356	0.392	NoDiff
PBXIP1	0.351	0.937	0.543	1.499	0.367	-1.448	0.995	GM18502+
PCAT6	0.024	0.996	1.181	0.731	1.476	0.562	0.744	NoDiff
PCBP1	4.198	0.079	0.081	0.076	1.066	0.093	0	NoDiff
PCBP4	0.116	0.409	0.307	0.554	0.508	-0.978	0.719	NoDiff
PCCB	0.371	0.108	0.088	0.135	0.671	-0.577	0.673	NoDiff
PCGF1	0.172	0.106	0.104	0.109	1.116	0.158	0.638	NoDiff
PCGF3	0.17	0.122	0.129	0.111	1.068	0.095	0.668	NoDiff
PCNP	1.591	0.064	0.071	0.053	1.381	0.465	0.467	NoDiff
PCNXL2	0.034	0.844	0.932	0.719	1.186	0.246	0.739	NoDiff
PCOLCE2	0	12.06	13.561	9.92	1.106	0.145	0.759	NoDiff
PCP4L1	0.004	9.492	11.407	6.763	1.913	0.935	0.844	ExcludedFromTesting
PCYOX1	0.082	0.73	0.839	0.575	1.404	0.49	0.558	NoDiff
PCYT1A	0.332	0.168	0.159	0.181	0.913	-0.132	0.477	NoDiff
PDCD1	0.02	8.063	7.073	9.474	0.721	-0.471	0.724	ExcludedFromTesting
PDCD10	1.117	0.05	0.039	0.067	0.631	-0.665	0.608	NoDiff
PDCD6IP	0.374	0.155	0.215	0.069	3.136	1.649	0.869	NoDiff
PDCL3	0.499	0.196	0.26	0.103	2.431	1.282	0.905	NoDiff
PDE12	0.144	0.127	0.08	0.194	0.441	-1.182	0.809	NoDiff
PDE4B	0.09	1.735	1.845	1.578	1.172	0.23	0.382	NoDiff
PDE4DIP	0.071	0.786	0.853	0.691	1.136	0.184	0.568	NoDiff
PDE6B	0.045	0.875	0.864	0.891	1.076	0.106	0.698	NoDiff
PDE6D	0.437	0.069	0.076	0.059	1.141	0.191	0.633	NoDiff
PDGFRA	0.004	7.561	8.11	6.778	1.374	0.458	0.744	NoDiff
PDHB	0.89	0.153	0.149	0.159	0.936	-0.095	0.126	NoDiff
PDIA5	0.181	0.736	0.77	0.688	1.088	0.122	0.347	ExcludedFromTesting
PDIA6	6.357	0.462	0.486	0.429	1.128	0.174	0	ExcludedFromTesting
PDIK1L	0.042	0.972	1.407	0.352	3.815	1.932	0.894	NoDiff
PDK1	0.211	1.921	2.795	0.675	4.194	2.068	1	GM12878+
PDLIM5	0.234	0.225	0.297	0.122	2.308	1.207	0.789	NoDiff
PDS5A	0.439	0.139	0.178	0.084	2.163	1.113	0.729	NoDiff
PDZK1	0.005	19.478	26.66	9.236	2.95	1.561	0.794	NoDiff
PEA15	0.493	1.298	1.618	0.843	1.926	0.946	0.98	GM12878+
PECR	0.298	0.267	0.323	0.187	1.645	0.718	0.628	NoDiff
PEF1	0.624	0.1	0.094	0.109	0.864	-0.211	0.462	NoDiff
PELI1	0.278	0.61	0.661	0.538	1.214	0.28	0.261	NoDiff
PER2	0.062	0.979	0.759	1.293	0.652	-0.618	0.608	NoDiff
PER3	0.004	15.741	20.065	9.574	2.196	1.135	0.809	NoDiff
PEX10	0.259	0.096	0.122	0.059	2.139	1.097	0.804	NoDiff
PEX11B	0.393	0.15	0.193	0.09	2.174	1.12	0.724	NoDiff
PEX13	0.228	0.069	0.041	0.11	0.391	-1.355	0.779	NoDiff
PEX14	0.178	0.755	1.148	0.194	5.839	2.546	1	GM12878+
PEX19	0.196	0.092	0.097	0.085	1.04	0.057	0.754	NoDiff
PEX5L	0.007	8.937	8.102	10.126	0.744	-0.427	0.744	NoDiff
PEX5L-AS2	0.005	13.204	6.873	22.232	0.295	-1.761	0.899	ExcludedFromTesting
PFDN2	1.808	0.193	0.176	0.218	0.796	-0.33	0.04	NoDiff
PFKFB2	0.019	1.883	1.694	2.152	0.842	-0.248	0.643	ExcludedFromTesting
PFKFB4	0.059	13.501	21.311	2.366	8.829	3.142	1	ExcludedFromTesting
PFN2	0.116	5.676	4.02	8.036	0.501	-0.998	0.905	ExcludedFromTesting
PFN4	0.01	2.496	2.474	2.527	1.153	0.206	0.764	NoDiff
PGAP1	0.041	0.817	0.676	1.017	0.637	-0.651	0.663	NoDiff
PGBD2	0.059	0.281	0.301	0.253	1.181	0.24	0.779	NoDiff
PGD	0.765	0.171	0.166	0.179	0.899	-0.154	0.131	NoDiff
PGLYRP4	0.006	6.183	6.872	5.199	1.096	0.132	0.709	NoDiff
PGM1	0.562	0.273	0.254	0.301	0.844	-0.244	0.236	NoDiff
PGM2	0.218	0.151	0.105	0.216	0.469	-1.093	0.744	NoDiff
PHACTR4	0.219	0.119	0.129	0.106	1.149	0.2	0.704	NoDiff
PHC2	0.049	0.521	0.455	0.614	0.839	-0.252	0.663	NoDiff
PHC3	0.256	0.317	0.316	0.319	0.986	-0.02	0.427	NoDiff
PHF13	0.042	0.379	0.301	0.49	0.618	-0.694	0.729	NoDiff
PHF7	0.055	0.376	0.394	0.35	1.123	0.168	0.698	NoDiff
PHGDH	0.243	6.032	6.526	5.327	1.245	0.316	0.025	NoDiff
PHLDA3	0.258	2.474	2.449	2.51	0.971	-0.042	0.015	NoDiff
PHLDB2	0.003	27.637	18.227	41.055	0.39	-1.358	0.889	NoDiff
PHOSPHO2	0.044	0.507	0.487	0.535	0.85	-0.235	0.724	NoDiff
PHTF1	0.344	0.213	0.244	0.168	1.387	0.472	0.523	NoDiff
PI4K2B	0.334	0.26	0.265	0.252	1.063	0.088	0.347	NoDiff
PI4KB	0.287	0.138	0.182	0.074	2.633	1.397	0.784	NoDiff
PIAS3	0.074	0.241	0.248	0.231	1.013	0.019	0.704	NoDiff
PIFO	0.046	4.519	6.351	1.907	3.345	1.742	0.965	ExcludedFromTesting
PIGC	0.351	0.181	0.082	0.322	0.237	-2.074	0.95	NoDiff
PIGF	0.525	0.084	0.093	0.072	1.329	0.41	0.588	NoDiff
PIGG	0.098	0.183	0.158	0.218	0.717	-0.481	0.688	NoDiff
PIGK	0.113	0.347	0.404	0.265	1.383	0.468	0.704	NoDiff
PIGM	0.09	0.272	0.212	0.358	0.564	-0.825	0.784	NoDiff
PIGR	0.247	11.461	18.164	1.902	9.624	3.267	1	ExcludedFromTesting
PIGV	0.156	0.151	0.089	0.239	0.353	-1.502	0.774	NoDiff
PIGX	0.522	0.177	0.16	0.202	0.784	-0.351	0.342	NoDiff
PIGZ	0.054	0.689	1.032	0.199	4.669	2.223	0.935	NoDiff
PIK3C2B	0.051	0.656	0.507	0.867	0.606	-0.723	0.638	NoDiff
PIK3CA	0.105	0.31	0.272	0.364	0.648	-0.625	0.693	NoDiff
PIK3CB	0.057	0.403	0.352	0.477	0.752	-0.411	0.698	NoDiff
PIK3CD	0.14	0.583	0.615	0.538	1.138	0.187	0.422	ExcludedFromTesting
PIK3CD-AS1	0.039	3.194	3.929	2.146	1.881	0.912	0.673	NoDiff
PIK3CD-AS2	0.46	0.437	0.508	0.337	1.509	0.594	0.513	NoDiff
PIK3R3	0.163	0.935	1.053	0.768	1.383	0.468	0.402	NoDiff
PIK3R4	0.029	0.81	1.079	0.426	2.243	1.166	0.804	NoDiff
PIKFYVE	0.092	0.314	0.348	0.266	1.129	0.176	0.724	NoDiff
PINK1	0.087	0.659	0.247	1.247	0.232	-2.107	0.92	ExcludedFromTesting
PINK1-AS	0.011	3.643	1.538	6.644	0.232	-2.106	0.809	NoDiff
PIP5K1A	0.199	0.176	0.178	0.173	1.046	0.065	0.573	NoDiff
PITHD1	0.485	0.149	0.115	0.196	0.611	-0.71	0.598	NoDiff
PKD2	0.039	0.581	0.786	0.289	2.987	1.579	0.854	NoDiff
PKDCC	0.002	12.288	12.054	12.622	1.026	0.036	0.834	NoDiff
PKI55	0.016	1.508	1.18	1.977	0.531	-0.913	0.789	NoDiff
PKN2	0.203	0.253	0.299	0.186	1.517	0.601	0.578	NoDiff
PKN2-AS1	0.006	9.679	11.325	7.333	1.593	0.672	0.774	NoDiff
PKP4	0.04	0.774	0.855	0.658	1.266	0.34	0.648	NoDiff
PLA1A	0.045	5.694	5.634	5.78	0.957	-0.064	0.211	NoDiff
PLA2G12A	0.374	0.09	0.063	0.129	0.493	-1.019	0.678	NoDiff
PLA2G4A	0.012	2.15	3.112	0.78	3.904	1.965	0.859	ExcludedFromTesting
PLA2G5	0.004	328.41	44.229	733.62	0.099	-3.338	0.935	NoDiff
PLAC8	8.244	1.612	1.813	1.325	1.369	0.453	0.005	ExcludedFromTesting
PLB1	0.004	1018.616	1725.31	10.949	146.772	7.197	1	GM12878+
PLCD1	0.037	2.134	1.594	2.904	0.575	-0.799	0.729	NoDiff
PLCH2	0.005	6.734	3.95	10.702	0.366	-1.449	0.849	NoDiff
PLCL1	0.004	17.002	14.224	20.962	0.85	-0.235	0.814	ExcludedFromTesting
PLCL2	0.146	0.452	0.652	0.167	3.915	1.969	0.894	NoDiff
PLCL2-AS1	0.006	16.906	18.679	14.378	1.326	0.407	0.719	NoDiff
PLCXD2	0.004	8.346	10.68	5.019	1.996	0.997	0.819	NoDiff
PLD1	0.033	7.83	6.268	10.058	0.636	-0.654	0.578	ExcludedFromTesting
PLEK	2.832	0.931	1.103	0.685	1.606	0.683	0.854	ExcludedFromTesting
PLEKHA3	0.41	0.12	0.149	0.08	1.713	0.776	0.673	NoDiff
PLEKHB2	0.411	0.129	0.092	0.183	0.502	-0.993	0.704	NoDiff
PLEKHG5	0.003	16.686	19.421	12.787	1.435	0.521	0.799	NoDiff
PLEKHH2	0.002	20.839	11.415	34.277	0.246	-2.022	0.869	ExcludedFromTesting
PLEKHM2	0.121	0.263	0.281	0.237	1.182	0.241	0.603	NoDiff
PLEKHM3	0.004	6.262	6.997	5.213	1.202	0.265	0.819	NoDiff
PLEKHN1	0.022	1.268	1.003	1.646	0.568	-0.816	0.809	NoDiff
PLEKHO1	1.997	0.544	0.702	0.319	2.22	1.15	1	ExcludedFromTesting
PLGLB1	0.007	3.639	2.664	5.029	0.514	-0.961	0.784	NoDiff
PLK3	0.144	3.871	4.904	2.398	2.061	1.043	0.945	NoDiff
PLOD1	0.201	0.308	0.353	0.243	1.372	0.456	0.523	NoDiff
PLPP3	0.004	18.306	20.922	14.576	1.532	0.615	0.769	NoDiff
PLS1	0.004	12.103	14.336	8.92	1.364	0.448	0.829	NoDiff
PLSCR1	0.467	0.775	0.784	0.761	1.041	0.057	0	NoDiff
PLXNA1	0.02	2.971	2.73	3.315	0.854	-0.227	0.618	NoDiff
PLXNA2	0.002	9.307	11.072	6.791	2.331	1.221	0.884	ExcludedFromTesting
PLXNB1	0.008	5.249	4.831	5.846	0.753	-0.41	0.759	NoDiff
PMF1	0.952	0.114	0.119	0.106	1.087	0.12	0.251	NoDiff
PMF1-BGLAP	0.012	1.995	1.377	2.876	0.362	-1.464	0.829	NoDiff
PMS1	0.208	0.106	0.099	0.117	0.804	-0.315	0.663	NoDiff
PMVK	2.333	0.089	0.071	0.116	0.629	-0.668	0.658	NoDiff
PNKD	1.34	0.075	0.062	0.095	0.663	-0.593	0.518	NoDiff
PNO1	0.445	0.381	0.347	0.43	0.815	-0.295	0.231	NoDiff
PNPT1	0.33	0.348	0.382	0.298	1.307	0.386	0.357	NoDiff
PNRC2	1.329	0.105	0.118	0.087	1.338	0.42	0.357	NoDiff
POC1A	0.071	1.018	0.977	1.076	0.866	-0.208	0.492	NoDiff
PODXL2	0.039	2.556	3.12	1.751	1.748	0.806	0.673	NoDiff
POGK	0.18	0.167	0.082	0.288	0.314	-1.672	0.894	NoDiff
POGLUT1	0.264	0.715	0.756	0.657	1.147	0.198	0.126	NoDiff
POGZ	0.408	0.176	0.196	0.147	1.329	0.41	0.508	NoDiff
POLE4	2.052	0.155	0.18	0.121	1.483	0.568	0.472	NoDiff
POLN	0.01	1.838	2.234	1.274	1.811	0.857	0.784	NoDiff
POLQ	0.013	4.089	4.73	3.175	1.491	0.576	0.688	NoDiff
POLR1A	0.072	0.432	0.571	0.234	2.285	1.192	0.779	NoDiff
POLR1B	0.081	0.497	0.287	0.796	0.382	-1.387	0.819	NoDiff
POLR2B	0.536	0.057	0.053	0.063	0.878	-0.188	0.563	NoDiff
POLR2D	0.44	0.162	0.144	0.188	0.784	-0.352	0.327	NoDiff
POLR2H	1.144	0.196	0.222	0.16	1.401	0.487	0.307	ExcludedFromTesting
POLR3C	0.132	0.206	0.277	0.105	2.786	1.478	0.754	NoDiff
POLR3GL	1.396	0.179	0.145	0.228	0.65	-0.621	0.538	NoDiff
POMC	0.626	0.411	0.478	0.316	1.525	0.609	0.533	NoDiff
POMGNT1	0.225	0.157	0.117	0.214	0.569	-0.813	0.678	NoDiff
POMGNT2	0.005	7.932	8.022	7.803	1.089	0.123	0.663	NoDiff
POPDC2	0.027	1.498	1.358	1.697	0.783	-0.353	0.688	NoDiff
POTEE	0.001	19.178	26.643	8.533	2.596	1.376	0.839	NoDiff
POU2F1	0.28	0.382	0.402	0.353	1.134	0.181	0.286	NoDiff
POU3F1	0.008	27.183	19.99	37.438	0.475	-1.075	0.749	NoDiff
PPA2	1.327	0.125	0.124	0.126	0.978	-0.033	0.085	NoDiff
PPARG	0.004	131.027	175.561	67.526	2.249	1.169	0.804	NoDiff
PPAT	0.17	0.389	0.429	0.332	1.342	0.424	0.472	NoDiff
PPCS	1.173	0.072	0.077	0.064	1.208	0.273	0.357	NoDiff
PPFIA4	0.007	8.511	13.056	2.032	6.391	2.676	0.92	ExcludedFromTesting
PPIE	0.76	0.089	0.082	0.1	0.83	-0.269	0.377	NoDiff
PPIG	1.946	0.052	0.052	0.052	1.04	0.057	0.201	NoDiff
PPIH	0.635	0.298	0.321	0.264	1.187	0.247	0.121	NoDiff
PPIL3	0.528	0.087	0.065	0.12	0.55	-0.862	0.663	NoDiff
PPM1B	0.416	0.121	0.126	0.113	1.076	0.106	0.487	NoDiff
PPM1G	1.696	0.103	0.114	0.089	1.266	0.34	0.206	NoDiff
PPM1J	0.008	4.191	5.41	2.452	1.96	0.971	0.754	NoDiff
PPM1K	1.058	0.333	0.352	0.307	1.137	0.186	0.02	NoDiff
PPM1M	0.199	0.523	0.605	0.406	1.509	0.594	0.523	NoDiff
PPOX	0.254	0.815	0.84	0.779	1.06	0.084	0.166	ExcludedFromTesting
PPP1CB	0.85	0.573	0.569	0.577	0.976	-0.035	0.005	NoDiff
PPP1R12B	0.051	0.429	0.302	0.609	0.575	-0.799	0.704	NoDiff
PPP1R15B	0.131	0.191	0.184	0.201	0.815	-0.295	0.714	NoDiff
PPP1R2	1.709	0.302	0.362	0.217	1.671	0.741	0.844	ExcludedFromTesting
PPP1R21	0.228	0.421	0.472	0.349	1.363	0.447	0.432	NoDiff
PPP1R7	1.264	0.068	0.069	0.066	1.075	0.105	0.312	NoDiff
PPP1R8	0.442	0.063	0.08	0.038	1.964	0.974	0.744	NoDiff
PPP2R3A	0.008	2.403	1.527	3.653	0.448	-1.159	0.779	NoDiff
PPP2R5A	0.41	0.102	0.138	0.05	3.006	1.588	0.859	NoDiff
PPP3CA	0.213	1.124	0.985	1.323	0.764	-0.387	0.307	NoDiff
PPP3R1	0.214	0.261	0.234	0.301	0.864	-0.21	0.548	NoDiff
PPP4R2	0.605	0.116	0.087	0.157	0.535	-0.902	0.678	NoDiff
PPP4R3B	0.38	0.086	0.096	0.073	1.25	0.321	0.633	NoDiff
PPT1	0.574	0.069	0.074	0.062	1.231	0.3	0.593	NoDiff
PQLC2	0.105	0.178	0.197	0.151	1.392	0.477	0.719	NoDiff
PQLC3	0.316	0.386	0.467	0.271	1.71	0.774	0.628	NoDiff
PRADC1	0.369	0.198	0.158	0.256	0.649	-0.623	0.553	NoDiff
PRCC	0.805	0.089	0.065	0.122	0.55	-0.862	0.678	NoDiff
PRDM2	0.569	0.228	0.246	0.204	1.179	0.237	0.166	NoDiff
PRDM8	0.007	15.722	12.541	20.259	0.631	-0.664	0.663	NoDiff
PRDX1	5.845	0.326	0.318	0.338	0.943	-0.084	0.01	NoDiff
PRDX6	2.673	0.167	0.202	0.117	1.74	0.799	0.899	NoDiff
PREB	0.651	0.402	0.496	0.267	1.855	0.891	0.834	NoDiff
PREPL	0.125	0.25	0.178	0.353	0.468	-1.095	0.719	NoDiff
PRKAB2	0.07	0.412	0.376	0.462	0.727	-0.459	0.698	NoDiff
PRKACB	0.058	1.25	1.382	1.062	1.201	0.264	0.623	ExcludedFromTesting
PRKAR2A	0.393	0.151	0.15	0.151	1.037	0.052	0.503	NoDiff
PRKAR2A-AS1	0.009	3.098	3.251	2.879	1.225	0.293	0.829	NoDiff
PRKCD	0.58	0.21	0.238	0.17	1.381	0.466	0.422	NoDiff
PRKCE	0.054	1.051	1.355	0.619	2.058	1.042	0.719	NoDiff
PRKCI	0.109	0.184	0.159	0.219	0.869	-0.203	0.774	NoDiff
PRKCZ	0.073	0.681	0.358	1.141	0.303	-1.721	0.834	NoDiff
PRKD3	0.1	0.495	0.427	0.592	0.723	-0.467	0.658	ExcludedFromTesting
PRKRA	0.74	0.182	0.165	0.207	0.8	-0.322	0.256	NoDiff
PRMT6	0.112	0.327	0.373	0.262	1.365	0.449	0.709	NoDiff
PROX1	0.001	19.065	17.274	21.62	1.021	0.03	0.844	ExcludedFromTesting
PRPF3	0.15	0.333	0.501	0.093	5.182	2.374	0.955	GM12878+
PRPF38A	1.113	0.031	0.02	0.045	0.46	-1.121	0.764	NoDiff
PRPF38B	1.301	0.088	0.087	0.089	0.968	-0.046	0.151	NoDiff
PRPF40A	1.717	0.095	0.108	0.077	1.388	0.474	0.372	NoDiff
PRRC2C	2.409	0.06	0.074	0.04	1.895	0.922	0.804	NoDiff
PRRT3	0.128	2.276	2.227	2.348	0.945	-0.081	0.06	NoDiff
PRRT3-AS1	0.008	5.136	3.464	7.52	0.412	-1.28	0.824	NoDiff
PRRX1	0.006	1342.62	2256.051	40.169	33.754	5.077	0.97	GM12878+
PRSS50	0.002	11.102	10.397	12.108	0.941	-0.087	0.774	NoDiff
PRUNE	0.062	0.247	0.288	0.189	1.471	0.557	0.693	NoDiff
PSD4	0.319	0.092	0.097	0.085	1.177	0.235	0.593	NoDiff
PSEN2	0.095	0.321	0.238	0.439	0.579	-0.787	0.729	NoDiff
PSMA5	2.515	0.118	0.112	0.127	0.888	-0.171	0.045	NoDiff
PSMB2	3.085	0.142	0.146	0.136	1.084	0.116	0.005	NoDiff
PSMB4	2.066	0.041	0.036	0.049	0.762	-0.393	0.417	NoDiff
PSMD1	0.511	0.3	0.322	0.268	1.197	0.259	0.181	NoDiff
PSMD14	1.111	0.065	0.051	0.086	0.605	-0.725	0.638	NoDiff
PSMD2	1.191	0.243	0.227	0.267	0.877	-0.189	0.035	NoDiff
PSMD4	2.43	0.06	0.058	0.064	0.905	-0.144	0.08	NoDiff
PSMD6	0.959	0.084	0.087	0.079	1.126	0.172	0.347	NoDiff
PSMD6-AS2	0.01	2.146	2.661	1.412	2.028	1.02	0.834	NoDiff
PSME4	0.22	0.249	0.223	0.286	0.713	-0.488	0.608	NoDiff
PSRC1	0.009	3.812	5.758	1.037	6.729	2.75	0.899	NoDiff
PTAFR	0.285	3.906	5.678	1.379	4.077	2.028	1	ExcludedFromTesting
PTBP2	0.031	0.774	0.681	0.907	0.678	-0.562	0.714	NoDiff
PTCD3	0.389	0.069	0.099	0.026	3.61	1.852	0.869	NoDiff
PTCH2	0.021	2.731	4.186	0.658	6.309	2.657	0.935	ExcludedFromTesting
PTMA	46.264	0.259	0.258	0.26	0.993	-0.01	0	NoDiff
PTP4A2	2.786	0.161	0.165	0.156	1.059	0.083	0	NoDiff
PTPN13	0.007	3.444	3.164	3.844	0.848	-0.238	0.784	NoDiff
PTPN14	0.007	10.298	9.61	11.278	0.922	-0.118	0.658	NoDiff
PTPN18	0.858	0.393	0.384	0.406	0.961	-0.058	0.015	NoDiff
PTPN22	0.529	0.552	0.509	0.615	0.83	-0.269	0.121	NoDiff
PTPN23	0.07	0.169	0.172	0.165	1.112	0.154	0.754	NoDiff
PTPN4	0.179	0.087	0.104	0.064	1.533	0.616	0.819	NoDiff
PTPN7	1.045	0.618	0.709	0.488	1.448	0.534	0.296	NoDiff
PTPRC	1.501	0.764	0.815	0.693	1.162	0.217	0.005	NoDiff
PTPRF	0.004	27.612	41.543	7.748	4.944	2.306	0.905	NoDiff
PTPRG	0.003	16.086	16.304	15.774	1.028	0.04	0.739	NoDiff
PTPRU	0.004	9.801	9.147	10.734	0.861	-0.215	0.784	NoDiff
PTRHD1	2.224	0.087	0.095	0.075	1.266	0.34	0.181	NoDiff
PUM1	0.308	0.169	0.24	0.068	3.409	1.769	0.915	NoDiff
PUM2	0.167	0.215	0.285	0.117	2.524	1.335	0.784	NoDiff
PUS10	0.12	0.426	0.481	0.349	1.322	0.402	0.643	NoDiff
PUSL1	0.215	0.265	0.215	0.337	0.639	-0.647	0.593	NoDiff
PVRL4	0.012	174.292	37.571	369.242	0.095	-3.399	1	GM18502+
PXK	0.171	0.819	0.794	0.855	0.921	-0.119	0.266	NoDiff
PXYLP1	0.004	7.906	8.326	7.309	1.176	0.234	0.779	NoDiff
PYCR2	0.565	0.104	0.124	0.075	1.602	0.68	0.648	NoDiff
PYGO2	0.127	0.22	0.229	0.207	1.225	0.293	0.638	NoDiff
PYHIN1	0.008	7.45	4.296	11.948	0.294	-1.768	0.844	ExcludedFromTesting
PYURF	2.511	0.053	0.053	0.052	1.02	0.029	0.095	NoDiff
QARS	2.646	0.122	0.128	0.113	1.137	0.185	0.03	NoDiff
QDPR	0.489	0.234	0.263	0.193	1.409	0.495	0.417	ExcludedFromTesting
QPCT	0.007	14.475	7.864	23.902	0.344	-1.538	0.804	NoDiff
QRICH1	0.232	0.097	0.047	0.167	0.32	-1.645	0.814	NoDiff
QSOX1	0.116	0.25	0.26	0.237	1.107	0.147	0.608	NoDiff
QTRTD1	0.125	0.364	0.42	0.284	1.478	0.564	0.648	NoDiff
R3HDM1	0.348	0.156	0.193	0.102	1.967	0.976	0.704	NoDiff
RAB10	0.987	0.093	0.089	0.098	0.889	-0.17	0.261	NoDiff
RAB13	1.31	0.989	1.153	0.754	1.523	0.607	0.583	ExcludedFromTesting
RAB1A	1.671	0.126	0.119	0.136	0.867	-0.206	0.065	NoDiff
RAB28	0.26	0.045	0.039	0.054	0.674	-0.57	0.764	NoDiff
RAB29	0.62	0.772	0.695	0.883	0.789	-0.342	0.055	NoDiff
RAB3B	0.011	9.528	2.826	19.085	0.158	-2.667	0.965	GM18502+
RAB3GAP1	0.227	0.177	0.207	0.134	1.515	0.6	0.678	NoDiff
RAB3GAP2	0.301	0.325	0.333	0.312	1.037	0.053	0.226	NoDiff
RAB42	0.008	14.03	8.558	21.832	0.385	-1.377	0.799	ExcludedFromTesting
RAB43	0.003	16.917	15.172	19.405	0.732	-0.449	0.784	NoDiff
RAB4A	1.311	0.074	0.058	0.097	0.575	-0.798	0.658	NoDiff
RAB5A	0.416	0.159	0.119	0.217	0.516	-0.955	0.739	NoDiff
RAB6B	0.014	4.577	5.734	2.927	1.852	0.889	0.829	NoDiff
RAB7A	1.837	0.054	0.034	0.082	0.413	-1.276	0.93	NoDiff
RABGAP1L	1.007	0.47	0.425	0.534	0.794	-0.332	0.06	NoDiff
RABGGTB	0.768	0.231	0.221	0.247	0.892	-0.165	0.106	NoDiff
RABIF	0.547	0.05	0.065	0.029	2.481	1.311	0.774	NoDiff
RABL2A	0.06	0.453	0.587	0.262	2.248	1.168	0.789	NoDiff
RABL3	0.163	0.268	0.23	0.322	0.708	-0.498	0.623	NoDiff
RAD18	0.076	0.477	0.45	0.515	0.843	-0.247	0.588	NoDiff
RAD54L	0.018	1.504	1.863	0.993	1.847	0.885	0.739	NoDiff
