GeneName	MeanOverall	Mean1	Mean2	MeanFC	MeanLog2FC	ProbDiffMean	ResultDiffMean
NBPF9	0.012	0.011	0.013	0.835	-0.26	0.136	NoDiff
NCAPG	0.035	0.026	0.048	0.539	-0.893	0.96	GM18502+
NCAPH	0.027	0.024	0.03	0.8	-0.322	0.09	NoDiff
NCBP2	1.369	1.27	1.51	0.838	-0.254	0	NoDiff
NCBP2-AS2	1.035	0.97	1.128	0.859	-0.219	0	NoDiff
NCDN	0.087	0.079	0.099	0.801	-0.321	0.09	NoDiff
NCEH1	0.019	0.017	0.021	0.826	-0.277	0.07	NoDiff
NCF2	0.26	0.251	0.272	0.92	-0.12	0	NoDiff
NCK1	0.463	0.502	0.407	1.239	0.309	0	NoDiff
NCK1-AS1	0.185	0.196	0.169	1.159	0.213	0	NoDiff
NCK2	0.084	0.087	0.081	1.083	0.115	0.045	NoDiff
NCKAP1	0.047	0.03	0.071	0.425	-1.234	0.98	GM18502+
NCKAP5	0.007	0.007	0.007	0.996	-0.006	0.196	NoDiff
NCKIPSD	0.071	0.036	0.122	0.299	-1.741	0.975	GM18502+
NCL	4.513	3.677	5.706	0.641	-0.642	1	GM18502+
NCOA1	0.159	0.17	0.143	1.187	0.247	0	NoDiff
NCSTN	0.324	0.36	0.273	1.316	0.396	0	NoDiff
NDC1	0.112	0.102	0.127	0.799	-0.325	0.04	NoDiff
NDUFA10	1.86	1.811	1.931	0.933	-0.1	0	NoDiff
NDUFAF3	2.43	2.521	2.3	1.1	0.137	0	NoDiff
NDUFAF7	0.131	0.126	0.138	0.904	-0.145	0.136	NoDiff
NDUFB3	3.098	3.014	3.218	0.937	-0.094	0	NoDiff
NDUFB4	4.331	4.208	4.507	0.929	-0.107	0	NoDiff
NDUFB5	3.717	3.832	3.552	1.077	0.106	0	NoDiff
NDUFS1	0.275	0.287	0.258	1.116	0.158	0	NoDiff
NDUFS2	1.965	1.934	2.01	0.963	-0.054	0	NoDiff
NDUFS5	7.185	6.931	7.548	0.92	-0.121	0	NoDiff
NEB	0.005	0.005	0.005	0.863	-0.212	0.256	NoDiff
NECAP2	0.899	0.841	0.983	0.855	-0.227	0	NoDiff
NEK10	0.002	0.002	0.002	1.108	0.147	0.392	NoDiff
NEK11	0.005	0.005	0.004	1.255	0.328	0.291	NoDiff
NEK2	0.017	0.015	0.02	0.719	-0.475	0.332	NoDiff
NEK4	0.085	0.09	0.079	1.142	0.191	0.05	NoDiff
NEK7	0.129	0.131	0.127	1.038	0.054	0	NoDiff
NELFA	0.211	0.196	0.232	0.846	-0.242	0	NoDiff
NEMP2	0.061	0.066	0.055	1.185	0.245	0.055	NoDiff
NENF	2.543	2.494	2.614	0.951	-0.072	0	NoDiff
NEU4	0.002	0.002	0.002	0.974	-0.038	0.312	NoDiff
NEURL3	0.008	0.003	0.013	0.25	-2.002	1	GM18502+
NEXN	0.026	0.024	0.029	0.843	-0.246	0.05	NoDiff
NEXN-AS1	0.002	0.001	0.003	0.298	-1.746	0.995	GM18502+
NFE2L2	0.493	0.495	0.49	1.013	0.018	0	NoDiff
NFKB1	0.437	0.383	0.515	0.744	-0.427	0.005	NoDiff
NFKBIZ	0.16	0.121	0.216	0.564	-0.827	1	GM18502+
NFU1	0.872	0.899	0.834	1.073	0.101	0	NoDiff
NFXL1	0.088	0.102	0.069	1.458	0.544	0.417	NoDiff
NFYC	0.563	0.544	0.589	0.924	-0.114	0	NoDiff
NFYC-AS1	0.029	0.024	0.037	0.646	-0.631	0.608	NoDiff
NGLY1	0.882	1.01	0.7	1.432	0.518	0.045	NoDiff
NHEJ1	0.003	0.003	0.004	0.878	-0.188	0.276	NoDiff
NHLH1	0.017	0.018	0.015	1.245	0.316	0.352	NoDiff
NICN1	0.113	0.11	0.117	0.937	-0.094	0.03	NoDiff
NID1	0.024	0.022	0.025	0.889	-0.17	0.015	NoDiff
NIF3L1	0.136	0.146	0.122	1.19	0.252	0	NoDiff
NIFK	1.119	0.971	1.331	0.73	-0.455	0	NoDiff
NIFK-AS1	0.195	0.205	0.181	1.13	0.176	0	NoDiff
NIPAL1	0.014	0.018	0.01	1.769	0.823	0.764	NoDiff
NIPAL3	0.238	0.275	0.184	1.497	0.582	0.477	NoDiff
NISCH	0.117	0.12	0.112	1.07	0.097	0	NoDiff
NIT1	0.317	0.294	0.349	0.839	-0.252	0	NoDiff
NIT2	0.777	0.693	0.897	0.771	-0.375	0	NoDiff
NKIRAS1	0.119	0.139	0.092	1.493	0.579	0.477	NoDiff
NKTR	0.888	0.926	0.834	1.108	0.147	0	NoDiff
NLRC4	0.003	0.003	0.004	0.791	-0.339	0.392	NoDiff
NLRP3	0.007	0.003	0.012	0.264	-1.922	1	GM18502+
NMD3	0.368	0.318	0.44	0.722	-0.47	0.02	NoDiff
NME6	0.412	0.388	0.448	0.869	-0.203	0	NoDiff
NME7	0.149	0.134	0.17	0.782	-0.355	0	NoDiff
NMI	1.093	1.135	1.033	1.099	0.137	0	NoDiff
NMNAT1	0.127	0.13	0.123	1.057	0.08	0	NoDiff
NMNAT2	0.002	0.001	0.003	0.241	-2.051	1	GM18502+
NMNAT3	0.01	0.003	0.019	0.166	-2.59	1	GM18502+
NMU	0.003	0.003	0.004	0.74	-0.435	0.608	NoDiff
NOA1	0.89	0.854	0.942	0.905	-0.144	0	NoDiff
NOC2L	0.774	0.708	0.868	0.818	-0.289	0	NoDiff
NOL10	0.234	0.222	0.252	0.88	-0.184	0	NoDiff
NOL9	0.167	0.152	0.188	0.803	-0.316	0	NoDiff
NOP14	0.381	0.335	0.446	0.75	-0.415	0	NoDiff
NOP14-AS1	0.122	0.112	0.136	0.829	-0.271	0.09	NoDiff
NOP58	0.806	0.739	0.901	0.817	-0.292	0	NoDiff
NOTCH2	0.029	0.023	0.039	0.582	-0.781	0.814	NoDiff
NOTCH2NL	0.01	0.009	0.012	0.74	-0.435	0.296	NoDiff
NPHP1	0.012	0.012	0.014	0.848	-0.239	0.136	NoDiff
NPHP3	0.1	0.106	0.09	1.189	0.25	0.08	NoDiff
NPHP3-ACAD11	0.007	0.008	0.007	1.088	0.121	0.08	NoDiff
NPHP4	0.014	0.015	0.013	1.11	0.151	0.09	NoDiff
NPL	0.048	0.035	0.067	0.528	-0.923	1	GM18502+
NPNT	0.038	0.037	0.039	0.961	-0.058	0.02	NoDiff
NPPA-AS1	0.011	0.008	0.016	0.491	-1.025	0.965	GM18502+
NPR1	0.002	0.001	0.004	0.211	-2.242	1	GM18502+
NPRL2	0.233	0.22	0.252	0.87	-0.201	0	NoDiff
NR1D2	0.049	0.069	0.02	3.462	1.792	0.99	GM12878+
NR1I2	0.003	0.002	0.003	0.761	-0.394	0.367	NoDiff
NR1I3	0.002	0.002	0.002	0.853	-0.229	0.523	NoDiff
NR2C2	0.063	0.067	0.057	1.176	0.234	0.075	NoDiff
NR4A2	0.016	0.014	0.02	0.689	-0.537	0.457	NoDiff
NR5A2	0.002	0.001	0.004	0.131	-2.931	1	GM18502+
NRAS	0.411	0.394	0.435	0.9	-0.152	0	NoDiff
NRBP1	0.743	0.815	0.64	1.275	0.351	0	NoDiff
NRDC	0.769	0.814	0.704	1.152	0.204	0	NoDiff
NRIR	0.003	0.003	0.002	1.365	0.449	0.447	NoDiff
NRP2	0.01	0.007	0.014	0.5	-1	0.96	GM18502+
NRROS	0.253	0.228	0.288	0.793	-0.335	0	NoDiff
NSG1	0.013	0.014	0.01	1.497	0.582	0.497	NoDiff
NSL1	0.582	0.573	0.594	0.972	-0.041	0	NoDiff
NSUN3	0.108	0.124	0.085	1.467	0.553	0.367	NoDiff
NSUN4	0.212	0.194	0.237	0.82	-0.287	0	NoDiff
NSUN7	0.001	0.001	0.002	0.279	-1.842	1	GM18502+
NT5DC2	0.352	0.399	0.286	1.392	0.477	0.045	NoDiff
NT5DC4	0.008	0.004	0.014	0.269	-1.894	1	GM18502+
NTNG1	0.006	0.004	0.009	0.51	-0.972	0.784	NoDiff
NTPCR	0.578	0.578	0.577	0.998	-0.003	0	NoDiff
NUAK2	0.034	0.04	0.024	1.667	0.737	0.704	NoDiff
NUCKS1	1.73	1.39	2.216	0.627	-0.674	1	GM18502+
NUDC	1.485	1.469	1.509	0.97	-0.044	0	NoDiff
NUDT16	0.421	0.407	0.441	0.917	-0.125	0	NoDiff
NUDT17	0.044	0.05	0.037	1.351	0.434	0.236	NoDiff
NUDT9	0.23	0.252	0.197	1.274	0.35	0	NoDiff
NUF2	0.04	0.029	0.056	0.53	-0.915	0.99	GM18502+
NUP133	0.082	0.073	0.095	0.768	-0.381	0.111	NoDiff
NUP210	0.383	0.362	0.413	0.873	-0.196	0	NoDiff
NUP35	0.1	0.098	0.102	0.956	-0.065	0	NoDiff
NUP54	0.223	0.222	0.224	0.995	-0.008	0	NoDiff
NVL	0.148	0.14	0.161	0.876	-0.191	0	NoDiff
NXPE3	0.205	0.197	0.218	0.904	-0.146	0	NoDiff
OAZ3	0.032	0.03	0.036	0.856	-0.225	0.03	NoDiff
OBSCN	0.001	0.001	0.002	0.356	-1.492	0.905	NoDiff
OBSL1	0.004	0.002	0.005	0.472	-1.083	0.819	NoDiff
OCIAD1	1.724	1.76	1.673	1.059	0.083	0	NoDiff
OCIAD2	2.493	2.486	2.503	0.993	-0.011	0	NoDiff
ODC1	3.123	2.665	3.777	0.704	-0.507	0.005	NoDiff
ODF2L	0.51	0.54	0.467	1.162	0.216	0	NoDiff
OGG1	0.213	0.235	0.182	1.296	0.374	0	NoDiff
OLA1	1.685	1.33	2.191	0.609	-0.716	1	GM18502+
OMA1	0.242	0.284	0.182	1.56	0.641	0.824	NoDiff
OPA1	0.263	0.246	0.288	0.852	-0.231	0	NoDiff
OPN3	0.23	0.2	0.274	0.728	-0.459	0.015	NoDiff
ORC1	0.032	0.024	0.044	0.551	-0.86	0.96	GM18502+
ORC2	0.127	0.118	0.14	0.848	-0.238	0	NoDiff
ORC4	0.266	0.261	0.272	0.955	-0.066	0	NoDiff
ORMDL1	2.234	2.415	1.977	1.22	0.287	0	NoDiff
OSBPL10	0.041	0.049	0.029	1.695	0.761	0.849	NoDiff
OSBPL11	0.059	0.064	0.05	1.285	0.361	0.035	NoDiff
OSBPL6	0.002	0.002	0.002	0.896	-0.158	0.322	NoDiff
OSBPL9	0.987	0.936	1.06	0.887	-0.172	0	NoDiff
OSCP1	0.026	0.022	0.031	0.706	-0.502	0.342	NoDiff
OSGEPL1	0.048	0.045	0.052	0.867	-0.206	0.005	NoDiff
OSGEPL1-AS1	0.015	0.015	0.015	1.036	0.051	0.015	NoDiff
OST4	12.543	12.546	12.539	1.002	0.003	0	NoDiff
OSTC	5.47	6.359	4.203	1.513	0.598	0.678	NoDiff
OSTN-AS1	0.026	0.035	0.013	2.685	1.425	1	GM12878+
OTUD3	0.027	0.027	0.028	0.972	-0.04	0	NoDiff
OTUD7B	0.102	0.097	0.11	0.88	-0.184	0.206	NoDiff
OVGP1	0.004	0.004	0.003	1.202	0.265	0.281	NoDiff
OXCT2	0.018	0.013	0.025	0.504	-0.989	0.945	NoDiff
OXER1	0.022	0.024	0.019	1.254	0.326	0.101	NoDiff
OXNAD1	0.126	0.099	0.164	0.608	-0.718	0.94	NoDiff
OXSM	0.184	0.213	0.143	1.487	0.573	0.447	NoDiff
OXSR1	0.184	0.152	0.23	0.662	-0.595	0.553	NoDiff
OXTR	0.045	0.031	0.065	0.493	-1.021	0.995	GM18502+
P2RY1	0.02	0.009	0.037	0.234	-2.094	1	GM18502+
P3H1	0.15	0.158	0.139	1.137	0.185	0	NoDiff
P3H2	0.094	0.127	0.047	2.725	1.446	0.98	GM12878+
P3H2-AS1	0.002	0.002	0.002	1.015	0.021	0.317	NoDiff
P4HTM	0.405	0.443	0.352	1.258	0.331	0	NoDiff
PABPC4	5.565	6.662	4.002	1.662	0.733	1	GM12878+
PACRGL	0.038	0.036	0.041	0.895	-0.161	0.055	NoDiff
PADI2	0.009	0.01	0.008	1.353	0.436	0.397	NoDiff
PADI4	0.005	0.006	0.004	1.528	0.612	0.533	NoDiff
PAFAH2	0.05	0.051	0.048	1.064	0.09	0.045	NoDiff
PAICS	1.042	0.716	1.507	0.479	-1.062	1	GM18502+
PAIP2B	0.037	0.042	0.03	1.367	0.451	0.231	NoDiff
PAK2	0.843	0.828	0.864	0.952	-0.071	0	NoDiff
PANK4	0.051	0.056	0.043	1.309	0.388	0.075	NoDiff
PAPOLG	0.051	0.053	0.049	1.08	0.111	0.111	NoDiff
PAPSS1	0.284	0.332	0.216	1.528	0.612	0.704	NoDiff
PAQR3	0.021	0.023	0.017	1.341	0.423	0.241	NoDiff
PAQR6	0.04	0.031	0.051	0.603	-0.73	0.799	NoDiff
PAQR7	0.04	0.042	0.037	1.108	0.148	0.08	NoDiff
PARK7	8.631	7.869	9.718	0.806	-0.31	0	NoDiff
PARL	0.991	0.949	1.052	0.904	-0.146	0	NoDiff
PARM1	0.143	0.166	0.11	1.504	0.589	0.538	NoDiff
PARP1	3.649	3.526	3.825	0.921	-0.119	0	NoDiff
PARP14	0.895	0.831	0.986	0.846	-0.242	0	NoDiff
PARP15	0.162	0.133	0.202	0.664	-0.591	0.533	NoDiff
PARP3	0.177	0.148	0.219	0.676	-0.565	0.377	NoDiff
PARP9	0.264	0.274	0.25	1.092	0.127	0	NoDiff
PARS2	0.049	0.047	0.052	0.889	-0.169	0.05	NoDiff
PASK	0.289	0.311	0.256	1.213	0.279	0	NoDiff
PAX8	0.016	0.025	0.002	12.614	3.657	1	GM12878+
PBRM1	0.463	0.507	0.401	1.269	0.344	0	NoDiff
PBXIP1	0.351	0.395	0.289	1.376	0.46	0.035	NoDiff
PCAT6	0.024	0.025	0.023	1.071	0.099	0	NoDiff
PCBP1	4.198	4.068	4.384	0.928	-0.108	0	NoDiff
PCBP4	0.116	0.116	0.115	1.005	0.008	0.085	NoDiff
PCCB	0.371	0.398	0.332	1.192	0.253	0	NoDiff
PCGF1	0.172	0.17	0.174	0.972	-0.041	0	NoDiff
PCGF3	0.17	0.169	0.172	0.979	-0.03	0	NoDiff
PCNP	1.591	1.419	1.836	0.772	-0.373	0	NoDiff
PCNXL2	0.034	0.032	0.035	0.928	-0.108	0.07	NoDiff
PCOLCE2	0	0	0	0.839	-0.253	0	NoDiff
PCP4L1	0.004	0.001	0.008	0.096	-3.379	1	GM18502+
PCYOX1	0.082	0.08	0.084	0.944	-0.083	0.03	NoDiff
PCYT1A	0.332	0.358	0.295	1.215	0.281	0	NoDiff
PDCD1	0.02	0.027	0.008	3.282	1.715	1	GM12878+
PDCD10	1.117	1.028	1.244	0.829	-0.271	0	NoDiff
PDCD6IP	0.374	0.417	0.313	1.331	0.412	0	NoDiff
PDCL3	0.499	0.521	0.468	1.113	0.154	0	NoDiff
PDE12	0.144	0.14	0.149	0.941	-0.088	0	NoDiff
PDE4B	0.09	0.089	0.092	0.956	-0.064	0.116	NoDiff
PDE4DIP	0.071	0.075	0.065	1.146	0.196	0.09	NoDiff
PDE6B	0.045	0.041	0.05	0.812	-0.3	0.095	NoDiff
PDE6D	0.437	0.418	0.463	0.893	-0.163	0	NoDiff
PDGFRA	0.004	0.003	0.005	0.667	-0.584	0.508	NoDiff
PDHB	0.89	0.972	0.773	1.261	0.335	0	NoDiff
PDIA5	0.181	0.221	0.123	1.794	0.843	0.995	GM12878+
PDIA6	6.357	7.471	4.768	1.56	0.641	0.975	GM12878+
PDIK1L	0.042	0.047	0.035	1.329	0.41	0.216	NoDiff
PDK1	0.211	0.238	0.173	1.368	0.452	0.05	NoDiff
PDLIM5	0.234	0.24	0.226	1.071	0.099	0	NoDiff
PDS5A	0.439	0.434	0.446	0.972	-0.042	0	NoDiff
PDZK1	0.005	0.006	0.003	2.324	1.217	0.889	NoDiff
PEA15	0.493	0.507	0.472	1.076	0.106	0	NoDiff
PECR	0.298	0.263	0.349	0.755	-0.405	0	NoDiff
PEF1	0.624	0.602	0.655	0.921	-0.119	0	NoDiff
PELI1	0.278	0.298	0.248	1.199	0.262	0	NoDiff
PER2	0.062	0.055	0.072	0.763	-0.39	0.146	NoDiff
PER3	0.004	0.005	0.003	1.626	0.702	0.608	NoDiff
PEX10	0.259	0.241	0.285	0.845	-0.242	0	NoDiff
PEX11B	0.393	0.403	0.379	1.063	0.087	0	NoDiff
PEX13	0.228	0.23	0.224	1.038	0.054	0	NoDiff
PEX14	0.178	0.202	0.143	1.414	0.5	0.116	NoDiff
PEX19	0.196	0.184	0.213	0.859	-0.219	0	NoDiff
PEX5L	0.007	0.006	0.007	0.942	-0.086	0.146	NoDiff
PEX5L-AS2	0.005	0.007	0.001	13.896	3.797	1	GM12878+
PFDN2	1.808	1.647	2.039	0.811	-0.303	0	NoDiff
PFKFB2	0.019	0.025	0.012	2.137	1.096	0.98	GM12878+
PFKFB4	0.059	0.013	0.124	0.109	-3.202	1	GM18502+
PFN2	0.116	0.165	0.045	3.629	1.86	1	GM12878+
PFN4	0.01	0.011	0.009	1.189	0.25	0.131	NoDiff
PGAP1	0.041	0.05	0.027	1.813	0.859	0.94	NoDiff
PGBD2	0.059	0.065	0.052	1.231	0.3	0.055	NoDiff
PGD	0.765	0.721	0.828	0.867	-0.206	0	NoDiff
PGLYRP4	0.006	0.006	0.006	1.023	0.033	0.226	NoDiff
PGM1	0.562	0.484	0.675	0.718	-0.478	0.015	NoDiff
PGM2	0.218	0.198	0.247	0.804	-0.314	0	NoDiff
PHACTR4	0.219	0.235	0.195	1.211	0.277	0	NoDiff
PHC2	0.049	0.046	0.054	0.851	-0.233	0.005	NoDiff
PHC3	0.256	0.289	0.209	1.385	0.47	0.035	NoDiff
PHF13	0.042	0.041	0.043	0.95	-0.075	0.035	NoDiff
PHF7	0.055	0.06	0.048	1.246	0.317	0.075	NoDiff
PHGDH	0.243	0.278	0.193	1.438	0.524	0.302	NoDiff
PHLDA3	0.258	0.282	0.225	1.253	0.325	0	NoDiff
PHLDB2	0.003	0.003	0.003	0.825	-0.277	0.291	NoDiff
PHOSPHO2	0.044	0.037	0.055	0.673	-0.57	0.457	NoDiff
PHTF1	0.344	0.385	0.285	1.344	0.427	0	NoDiff
PI4K2B	0.334	0.324	0.348	0.934	-0.098	0	NoDiff
PI4KB	0.287	0.28	0.298	0.944	-0.083	0	NoDiff
PIAS3	0.074	0.075	0.072	1.044	0.063	0.095	NoDiff
PIFO	0.046	0.03	0.069	0.432	-1.211	0.985	GM18502+
PIGC	0.351	0.361	0.336	1.074	0.103	0	NoDiff
PIGF	0.525	0.52	0.533	0.978	-0.032	0	NoDiff
PIGG	0.098	0.093	0.105	0.885	-0.176	0.08	NoDiff
PIGK	0.113	0.134	0.084	1.599	0.677	0.819	NoDiff
PIGM	0.09	0.096	0.082	1.19	0.251	0.101	NoDiff
PIGR	0.247	0.019	0.572	0.033	-4.933	1	GM18502+
PIGV	0.156	0.155	0.156	0.993	-0.01	0	NoDiff
PIGX	0.522	0.43	0.654	0.656	-0.608	0.719	NoDiff
PIGZ	0.054	0.048	0.064	0.748	-0.419	0.191	NoDiff
PIK3C2B	0.051	0.04	0.067	0.61	-0.713	0.829	NoDiff
PIK3CA	0.105	0.101	0.11	0.919	-0.123	0.161	NoDiff
PIK3CB	0.057	0.062	0.05	1.261	0.334	0.055	NoDiff
PIK3CD	0.14	0.107	0.187	0.572	-0.807	0.985	GM18502+
PIK3CD-AS1	0.039	0.031	0.051	0.607	-0.719	0.829	NoDiff
PIK3CD-AS2	0.46	0.437	0.493	0.887	-0.172	0	NoDiff
PIK3R3	0.163	0.134	0.203	0.664	-0.59	0.513	NoDiff
PIK3R4	0.029	0.033	0.024	1.4	0.486	0.312	NoDiff
PIKFYVE	0.092	0.097	0.085	1.145	0.196	0.216	NoDiff
PINK1	0.087	0.109	0.056	1.928	0.947	0.99	GM12878+
PINK1-AS	0.011	0.013	0.007	1.868	0.901	0.824	NoDiff
PIP5K1A	0.199	0.188	0.214	0.879	-0.187	0	NoDiff
PITHD1	0.485	0.443	0.546	0.811	-0.302	0	NoDiff
PKD2	0.039	0.043	0.034	1.26	0.334	0.075	NoDiff
PKDCC	0.002	0.003	0.002	1.57	0.651	0.573	NoDiff
PKI55	0.016	0.018	0.012	1.573	0.653	0.643	NoDiff
PKN2	0.203	0.197	0.212	0.932	-0.101	0	NoDiff
PKN2-AS1	0.006	0.006	0.005	1.422	0.508	0.462	NoDiff
PKP4	0.04	0.034	0.049	0.688	-0.54	0.387	NoDiff
PLA1A	0.045	0.04	0.054	0.737	-0.44	0.191	NoDiff
PLA2G12A	0.374	0.397	0.341	1.168	0.224	0	NoDiff
PLA2G4A	0.012	0.008	0.018	0.435	-1.2	0.98	GM18502+
PLA2G5	0.004	0.002	0.007	0.364	-1.459	0.724	NoDiff
PLAC8	8.244	5.019	12.842	0.391	-1.353	1	GM18502+
PLB1	0.004	0.005	0.003	1.705	0.77	0.623	NoDiff
PLCD1	0.037	0.041	0.03	1.372	0.457	0.251	NoDiff
PLCH2	0.005	0.007	0.003	2.364	1.241	0.905	NoDiff
PLCL1	0.004	0.007	0.001	12.417	3.634	1	GM12878+
PLCL2	0.146	0.169	0.112	1.506	0.591	0.518	NoDiff
PLCL2-AS1	0.006	0.007	0.004	1.428	0.514	0.422	NoDiff
PLCXD2	0.004	0.003	0.005	0.577	-0.794	0.653	NoDiff
PLD1	0.033	0.022	0.05	0.445	-1.168	1	GM18502+
PLEK	2.832	2.292	3.602	0.637	-0.65	0.99	GM18502+
PLEKHA3	0.41	0.445	0.359	1.242	0.312	0	NoDiff
PLEKHB2	0.411	0.397	0.432	0.913	-0.131	0	NoDiff
PLEKHG5	0.003	0.003	0.002	1.246	0.318	0.397	NoDiff
PLEKHH2	0.002	0.001	0.003	0.232	-2.109	1	GM18502+
PLEKHM2	0.121	0.111	0.134	0.825	-0.277	0	NoDiff
PLEKHM3	0.004	0.005	0.004	1.051	0.072	0.211	NoDiff
PLEKHN1	0.022	0.024	0.019	1.301	0.379	0.171	NoDiff
PLEKHO1	1.997	1.527	2.667	0.569	-0.813	1	GM18502+
PLGLB1	0.007	0.009	0.004	1.92	0.941	0.859	NoDiff
PLK3	0.144	0.12	0.18	0.671	-0.576	0.472	NoDiff
PLOD1	0.201	0.174	0.239	0.723	-0.468	0.055	NoDiff
PLPP3	0.004	0.004	0.005	0.791	-0.339	0.312	NoDiff
PLS1	0.004	0.003	0.005	0.646	-0.631	0.548	NoDiff
PLSCR1	0.467	0.474	0.456	1.039	0.055	0	NoDiff
PLXNA1	0.02	0.021	0.019	1.091	0.126	0.045	NoDiff
PLXNA2	0.002	0	0.005	0.069	-3.863	1	GM18502+
PLXNB1	0.008	0.009	0.007	1.196	0.258	0.201	NoDiff
PMF1	0.952	1.018	0.859	1.183	0.242	0	NoDiff
PMF1-BGLAP	0.012	0.015	0.008	1.735	0.795	0.759	NoDiff
PMS1	0.208	0.214	0.2	1.071	0.099	0	NoDiff
PMVK	2.333	2.276	2.414	0.942	-0.086	0	NoDiff
PNKD	1.34	1.463	1.165	1.252	0.325	0	NoDiff
PNO1	0.445	0.391	0.521	0.75	-0.415	0	NoDiff
PNPT1	0.33	0.315	0.353	0.889	-0.17	0	NoDiff
PNRC2	1.329	1.221	1.482	0.82	-0.287	0	NoDiff
POC1A	0.071	0.056	0.092	0.607	-0.72	0.864	NoDiff
PODXL2	0.039	0.036	0.043	0.844	-0.245	0.075	NoDiff
POGK	0.18	0.168	0.198	0.842	-0.248	0	NoDiff
POGLUT1	0.264	0.246	0.289	0.855	-0.226	0	NoDiff
POGZ	0.408	0.399	0.42	0.951	-0.072	0	NoDiff
POLE4	2.052	2.16	1.898	1.144	0.194	0	NoDiff
POLN	0.01	0.01	0.009	1.085	0.118	0.08	NoDiff
POLQ	0.013	0.009	0.018	0.492	-1.022	0.95	NoDiff
POLR1A	0.072	0.063	0.084	0.737	-0.439	0.156	NoDiff
POLR1B	0.081	0.064	0.106	0.61	-0.713	0.899	NoDiff
POLR2B	0.536	0.53	0.546	0.974	-0.038	0	NoDiff
POLR2D	0.44	0.385	0.519	0.74	-0.433	0	NoDiff
POLR2H	1.144	0.86	1.549	0.557	-0.844	1	GM18502+
POLR3C	0.132	0.13	0.136	0.956	-0.065	0	NoDiff
POLR3GL	1.396	1.505	1.241	1.208	0.272	0	NoDiff
POMC	0.626	0.685	0.543	1.256	0.329	0	NoDiff
POMGNT1	0.225	0.243	0.199	1.222	0.289	0	NoDiff
POMGNT2	0.005	0.004	0.005	0.883	-0.179	0.191	NoDiff
POPDC2	0.027	0.033	0.018	1.803	0.85	0.899	NoDiff
POTEE	0.001	0	0.001	0.877	-0.19	0	NoDiff
POU2F1	0.28	0.271	0.294	0.921	-0.119	0	NoDiff
POU3F1	0.008	0.009	0.006	1.396	0.481	0.387	NoDiff
PPA2	1.327	1.412	1.207	1.161	0.216	0	NoDiff
PPARG	0.004	0.005	0.003	1.978	0.984	0.784	NoDiff
PPAT	0.17	0.158	0.188	0.836	-0.259	0	NoDiff
PPCS	1.173	1.204	1.128	1.069	0.096	0	NoDiff
PPFIA4	0.007	0	0.016	0.027	-5.225	1	GM18502+
PPIE	0.76	0.729	0.803	0.911	-0.135	0	NoDiff
PPIG	1.946	1.944	1.948	0.995	-0.007	0	NoDiff
PPIH	0.635	0.55	0.757	0.721	-0.472	0	NoDiff
PPIL3	0.528	0.546	0.503	1.089	0.123	0	NoDiff
PPM1B	0.416	0.444	0.377	1.178	0.236	0	NoDiff
PPM1G	1.696	1.57	1.876	0.838	-0.256	0	NoDiff
PPM1J	0.008	0.006	0.011	0.571	-0.808	0.719	NoDiff
PPM1K	1.058	1.144	0.935	1.231	0.3	0	NoDiff
PPM1M	0.199	0.2	0.199	0.997	-0.005	0	NoDiff
PPOX	0.254	0.309	0.176	1.747	0.805	1	GM12878+
PPP1CB	0.85	0.785	0.942	0.829	-0.27	0	NoDiff
PPP1R12B	0.051	0.056	0.042	1.346	0.429	0.126	NoDiff
PPP1R15B	0.131	0.132	0.129	1.031	0.044	0.141	NoDiff
PPP1R2	1.709	2.032	1.25	1.623	0.698	1	GM12878+
PPP1R21	0.228	0.228	0.228	1.005	0.008	0	NoDiff
PPP1R7	1.264	1.19	1.369	0.866	-0.208	0	NoDiff
PPP1R8	0.442	0.427	0.463	0.922	-0.117	0	NoDiff
PPP2R3A	0.008	0.01	0.006	1.561	0.642	0.563	NoDiff
PPP2R5A	0.41	0.38	0.454	0.832	-0.265	0	NoDiff
PPP3CA	0.213	0.247	0.164	1.503	0.588	0.513	NoDiff
PPP3R1	0.214	0.216	0.21	1.019	0.027	0	NoDiff
PPP4R2	0.605	0.607	0.603	1.009	0.013	0	NoDiff
PPP4R3B	0.38	0.385	0.372	1.029	0.041	0	NoDiff
PPT1	0.574	0.558	0.596	0.938	-0.092	0	NoDiff
PQLC2	0.105	0.093	0.122	0.766	-0.384	0.171	NoDiff
PQLC3	0.316	0.372	0.236	1.574	0.654	0.849	NoDiff
PRADC1	0.369	0.41	0.31	1.322	0.403	0	NoDiff
PRCC	0.805	0.75	0.884	0.847	-0.239	0	NoDiff
PRDM2	0.569	0.546	0.602	0.911	-0.135	0	NoDiff
PRDM8	0.007	0.008	0.006	1.351	0.434	0.367	NoDiff
PRDX1	5.845	5.624	6.16	0.913	-0.131	0	NoDiff
PRDX6	2.673	2.951	2.278	1.29	0.368	0	NoDiff
PREB	0.651	0.735	0.532	1.383	0.468	0	NoDiff
PREPL	0.125	0.128	0.12	1.06	0.084	0.05	NoDiff
PRKAB2	0.07	0.067	0.073	0.918	-0.123	0.08	NoDiff
PRKACB	0.058	0.076	0.032	2.347	1.231	1	GM12878+
PRKAR2A	0.393	0.406	0.374	1.086	0.119	0	NoDiff
